,id,code,name_en,name_ko,translated
107,108,mg,Malagasy,말라가시어,0
108,109,mt,Maltese,몰타어,0
109,110,mo,Moldavian; Moldovan,몰도바어,0
110,111,mn,Mongolian,몽골어,0
111,112,na,Nauru,나우루어,0
112,113,nv,Navajo; Navaho,나바호어,0
113,114,nr,"Ndebele, South; South Ndebele",은데벨레어 (남),0
114,115,nd,"Ndebele, North; North Ndebele",은데벨레어 (북),0
115,116,ng,Ndonga,은동가어,0
116,117,ne,Nepali,네팔어,0
117,118,nn,"Norwegian Nynorsk; Nynorsk, Norwegian",뉘노리스크,0
118,119,nb,"Bokmål, Norwegian; Norwegian Bokmål",보크몰,0
119,120,no,Norwegian,노르웨이어,0
120,121,ny,Chichewa; Chewa; Nyanja,니안자어,0
121,122,oc,Occitan (post 1500),오크어 (1500년 이후),0
122,123,oj,Ojibwa,오지브와어,0
123,124,or,Oriya,오리야어,0
124,125,om,Oromo,오로모어,0
125,126,os,Ossetian; Ossetic,오세트어,0
126,127,pa,Panjabi; Punjabi,펀자브어,0
127,128,fa,Persian,페르시아어,0
128,129,pi,Pali,팔리어,0
129,130,pl,Polish,폴란드어,0
130,131,pt,Portuguese,포르투갈어,0
131,132,ps,Pushto; Pashto,파슈토어,0
132,133,qu,Quechua,케추아어족,0
133,134,rm,Romansh,로만슈어,0
134,135,ro,Romanian,루마니아어,0
135,136,rn,Rundi,룬디어,0
136,137,ru,Russian,러시아어,0
137,138,sg,Sango,상고어,0
138,139,sa,Sanskrit,산스크리트어,0
139,140,si,Sinhala; Sinhalese,싱할라어,0
140,141,sk,Slovak,슬로바키아어,0
141,142,sl,Slovenian,슬로베니아어,0
142,143,se,Northern Sami,사미어 (북),0
143,144,sm,Samoan,사모아어,0
144,145,sn,Shona,쇼나어,0
145,146,sd,Sindhi,신디어,0
146,147,so,Somali,소말리아어,0
147,148,st,"Sotho, Southern",소토어 (남),0
148,149,es,Spanish; Castilian,스페인어,0
149,150,sc,Sardinian,사르데냐어,0
150,151,sr,Serbian,세르비아어,0
151,152,ss,Swati,스와티어,0
152,153,su,Sundanese,순다어,0
153,154,sw,Swahili,스와힐리어,0
154,155,sv,Swedish,스웨덴어,0
155,156,ty,Tahitian,타히티어,0
156,157,ta,Tamil,타밀어,0
157,158,tt,Tatar,타타르어,0
158,159,te,Telugu,텔루구어,0
159,160,tg,Tajik,타지크어,0
160,161,tl,Tagalog,타갈로그어,0
161,162,th,Thai,타이어,0
162,163,bo,Tibetan,티베트어,0
163,164,ti,Tigrinya,티그리냐어,0
164,165,to,Tonga (Tonga Islands),통가어 (통가 제도),0
165,166,tn,Tswana,츠와나어,0
166,167,ts,Tsonga,총가어,0
167,168,tk,Turkmen,투르크멘어,0
168,169,tr,Turkish,터키어,0
169,170,tw,Twi,알칸어군,0
170,171,ug,Uighur; Uyghur,위구르어,0
171,172,uk,Ukrainian,우크라이나어,0
172,173,ur,Urdu,우르두어,0
173,174,uz,Uzbek,우즈베크어,0
174,175,ve,Venda,벤다어,0
175,176,vi,Vietnamese,베트남어,0
176,177,vo,Volapük,볼라퓌크,0
177,178,cy,Welsh,웨일스어,0
178,179,wa,Walloon,왈론어,0
179,180,wo,Wolof,월로프어,0
180,181,xh,Xhosa,코사어,0
181,182,yi,Yiddish,이디시어,0
182,183,yo,Yoruba,요루바어,0
183,184,za,Zhuang; Chuang,좡어,0
184,185,zu,Zulu,줄루어,0
185,186,__,I prefer not to answer,,0
